id,business_name,street,area,postal_address ,city,country,call,category,address,place,postal_address
1,Department of Road and Transport Safety,,,,Gaborone (G),Botswana,+267 3905422,,,Tshomarelo Hse BSB Bldg,
2,Angel Network Botswana,,,,Gaborone,Botswana,No Phone,,,South-East,
3,Musica Game City,,Game City,,Gaborone,Botswana,+267 391 5233,,,Opposite Cash Crusader Shop 17,
4,Joyful Productions,,,,Box 25439 Gaborone,Botswana,75651035,,,,
5,Meetkalakar,,Mulund East,,Mumbai -81,Botswana,9820596456,,,"13, Neelam Nagar",
6,Digital Online Electronics Limited,43 mangold street,,,Gaborone,Botswana,789781044,,,,
7,Blxckhippy Entertainment,,Phakalane Phase 2,,Gaborone,Botswana,26777442613,,Plot 55474,,
9,Musica Riverwalk,,,,Gaborone,Botswana,+267 370 0169,,,"Shop 34 Riverwalk, Village",P.O.Box 30833
10,O P Advertising,,,,Gaborone,Botswana,+267 319 0317,,,,P.O.Box 403399
11,Rap Nation,,,,Francistown,Botswana,+267 76303816,,,,P O Box 60097 Gabrone
12,Silver Star T/a Unique Wholesalers,,,,Gaborone,Botswana,+267 3913 913,,"Plot 8883, Ext 2",African Mall,
13,Wood Bridge Music Shop,,,,Hukuntsi,Botswana,410-203-9663,,,9251 Baltimore National Pike Suite F,
14,World Of Music,,,,Gaborone,Botswana,+267 397 1485,,Plot 10334 White City,,P.O.Box 2766
15,Pinagare Entertainment,,,,Francistown,Botswana,2401443,,,Tatitown,P. O. Box 11818
16,Dust n Fire Inc.,,,,Letlhakane,Botswana,75889334,,,,P O Box 47 Orapa
17,Crossgold Music,,Block 10,,Gaborone,Botswana,+267 391 0000,,"Unit 1 Setlhoa Showrooms, Plot 75748",,
18,Okavango Electronics (pty) Ltd,,,,Gaborone West - Phase 1,Botswana,+267 391 2626,,Plot 28573 Serotologane Drive,,
19,BIPS,,,,P O BOX 1125 MMADINARE,Botswana,77187748,,,,
20,Lowkey Music,,Mmopane,,Gaborone,Botswana,+267 71476333,,,,
21,Meek-n-gift Music Shop,,,,Francistown,Botswana,+267 241 7523,,,Marang Superspar Golden Valley,P.O.Box 10049
22,Silverstar,,,,Gaborone,Botswana,+267 391 3913,,,African Mall,
23,Soulpower Multimedia Solutions,,,,Gaborone,Botswana,+267 393 5414,,Plot 103 Pop In Mall,,P.O.Box 80061
24,Thebe Music Bar,,,,Gaborone West,Botswana,+267 316 3704,,Plot 8911/13964,"Bus Rank, Supa Save Complex",
25,Kgalagadi Jazz,,,,Gaborone,Botswana,+267 392 6633,,,Shop 12A 1 Game City,P.O.Box 80527
26,David Slater Music,,,,Gaborone,Botswana,+267 390 9398,,"Plot 856, Independence Ave",,P.O.Box 144
27,Thebe Records Company,,,,Gaborone West Ind,Botswana,+267 392 4279,,AGA Hse New Lobatse Rd Plot 28576,,
28,Lobatse Music Centre (pty) Ltd,,,,Lobatse,Botswana,+267 533 0866,,Plot 207 Town Centre,,P.O.Box 50
29,Meropa Music Salon,,,,Francistown,Botswana,+267 241 3088,,Plot 464/5/6 Grand Lodge Complex,,P.O.Box 54
30,Sipo Sami Radio Repairs And Tv Services (pty) Ltd,,,,Gaborone,Botswana,+267 397 4347,,"Plot 4755 Ext16, Broadhurst Ind",,P.O.Box 20119
31,Castors Studio,,,,Kasane,Botswana,+267 625 1225,,,Spar Complex.,P.O.Box 111
32,Malakatlou Music,,,,Serowe,Botswana,+267 463 7207,,,,P.O.Box 1056
33,Merebo Record Bar,,,,P.O.Box 9,Botswana,+267 261 1577,,,Selebi-Phikwe,
34,Music Parlour (pty) Ltd,,,,Mochudi,Botswana,+267 574 9840,,,,P.O.Box 40004
35,Ngami Music Centre,,,,Maun,Botswana,+267 686 4571,,,,P.O.Box 331
36,Pianos Tuned & Repaired (cmc),,,,Gaborone,Botswana,+267 7154 0380,,,,P.O.Box 471
37,Read & Play Academy Of Music,,,,Francistown,Botswana,+267 241 3833,,,,P.O.Box 10728
38,Glazing Botswana (pty) Ltd,,,,P.O.Box 50785,Botswana,+267 392 2797,,Plot 17980,Gaborone West,
39,Elmex Steel Works,,,,Gaborone,Botswana,+267 393 5036,,,"Office No 5 Tswanatex Complex, Legolo Road, Broadhurst",P.O.Box 21514
40,Accounting Tax Secretarial Consultants,,,,,Botswana,3926403,,,,P.O Box 128ADD Gaborone Botswana
41,Hawk Eye Risk Solutions,,,,P.O.Box 45584,Botswana,+267 3935344,,Plot 14430,Gaborone West Ind,
42,TKM Engineering (pty) Ltd,,,,Gaborone,Botswana,+267 318 0422,,"Plot 68289, Morula industrial Park",Phakalane,
43,Builders World - Francistown,,,,Francistown,Botswana,+267 241 4571,,Mowana Park Plot 31247 Somerset West Industrial,,
44,Maintenance Duty,,Block 3,,Gaborone,Botswana,393 1866,,"Unit 7B, Plot no 20620",,
45,Tango Trading,,,,Gaborone,Botswana,27833778767,,,Kya Sands Transport,
46,Building Material Supplies,,,,Francistown,Botswana,+267 241 4444,,Mowana Park Plot 31247 Somerset West Industrial,,
47,PG Glass,,,,Maun,Botswana,+267 686 5389,,Plot 624 Old Mall Mosele Complex,,
48,Seaprime (PTY) LTD,,,,Mogoditshane,Botswana,+267 3900105,,Plot 10115,,
49,Square Power Engineering Proprietary limited,,,,Gaborone,Botswana,+267 75050834,,,,P O Box 34 Rakops
50,Steelbase (pty) Ltd,,,,P.O.Box 1009,Botswana,+267 392 2860,,Plot 14406 Modikgodigau Rd,Gaborone West Ind,
51,Unik Construction Engineering,,,,Gaborone,Botswana,+267 392 3689,,Plot 61747 G/West Industrial,,
52,Builders World,,,,Selibe Phikwe,Botswana,+267 260 0738,,"Plot 2367, Industrial Sites, Selebi-Phikwe",,P.O.Box 1979
53,Builders World - Kasane,,,,Kasane,Botswana,+267 625 0214,,,next to Telecomms,P.O.Box 290
54,Buy 'n Build (pty) Ltd,,,,Francistown,Botswana,+267 241 2223,,"Plot 21700, Sam Nujoma Rd",Central Ind Area,
55,Concor Botswana,,,,Gaborone,Botswana,+267 397 1610,,Plot 10235 Broadhurst Industrial,,P.O.Box 41026
56,Dulux Botswana (pty) Ltd,,,,Francistown,Botswana,+267 241 3685,,,Galo Centre,
57,Engen Botswana,,,,Lobatse,Botswana,+267 533 0628,,Plot 4649 Hillside Mall,,P.O.Box 10588
58,Haskins J & Sons,,,,Gaborone,Botswana,+267 395 1001,,Plot 1216 Nkurumah St Old Industrial,,P.O.Box 1
59,Jamal Trading Company,,,,P.O.Box 493,Botswana,+267 392 2900,,Plot 14396,Gaborone West Ind,
60,Jamal Trading Suppliers,,,,Lobatse,Botswana,+267 530 0773,,"Plot 2127, Woodhall",,P.O.Box 11038
61,Kansai Plascon Botswana,New Lobatse Road,,,Gaborone West,Botswana,+267 392 2764,,Plot 14394,,
62,Liquorama - Molapo Crossing,,,,Gaborone,Botswana,+267 371 0034,,,Molapo Crossing Mall,
63,Liquorama - Southring Mall,Kaunda Rd,,,Gaborone,Botswana,+267 318 4316,,,Southring Mall,
64,Liquorama Legae Centre,,,,Gaborone,Botswana,+267 397 1860,,"Plot 13128 Ext25 Legae Ctr, BBS Mall",Broadhurst,
65,Manase Construction (pty) Ltd,,,,Gaborone,Botswana,+267 397 4844,,,,P O Box 20193
66,Maxi Save,,,,P.O.Box 1130,Botswana,+267 392 4539,,Plot 14434 /35,Gaborone West,
67,Maxi Save Botswana (pty) Ltd,,,,Palapye,Botswana,+267 492 4714,,,Seroronge Ward Opp Tradon,P.O.Box 1130
68,Nata Timber (pty) Ltd,,,,Gaborone,Botswana,+267 392 4406,,,,P.O.Box 26081
69,PG Glass (pty) Ltd,,,,P.O.Box 1807,Botswana,+267 395 2901,,"Plot 4792, Old Lobatse Rd",Gaborone West I/Est,
70,Tswelelopele Brigades Centre,,,,Ramotswa Rd next to Choppies,Botswana,+267 539 0226,,,,
71,Builders World Mogoditshane,,Mogoditshane,,Gaborone,Botswana,+267 390 9456,,"Plot 1416, Mogoditshane, Near Supa Save",,
72,Liquorama,,,,Gaborone,Botswana,+267 390 0632,,,Western Bypass,
73,Lulu Brick & Pave,Sebele Station Rd,,,Gaborone,Botswana,+267 317 0281,,,,
74,Sismo (pty) Ltd,,,,Gaborone,Botswana,+267 395 3560,,"Plot 1269, Old Lobatse Rd, Industrial Sites",,P.O.Box 202257
75,Truss Africa,,MORWA,,Mochudi,Botswana,73116463,,,,
76,Tswanacrete,,Block 3 Industrial,,Gaborone,Botswana,+267 72 469 262,,Plot 20765,,
77,Builders World Gaborone (pty) Ltd,,,,P.O.Box 502704,Botswana,+267 392 2656,,"Plot 17992, New Lobatse Rd",Gaborone West,
78,Builders Mart,NEW LOBATSE ROAD G WEST,,,Gaborone,Botswana,+267 392 7558,,PLOT 14389,,
79,Cashbuild,,,,P.O.Box 20227,Botswana,+267 393 5084,,Plot 14395 Bambi Warehouse No 2,Gaborone West,
80,Cashbuild,,,,Maun,Botswana,+267 680 0849,,"Plot 214 Boseja, Industrial Sites",,P.O.Box 20608
81,Cashbuild Botswana,,,,Francistown,Botswana,+267 241 2910,,Plot 251521 Metro Complex Light Ind,,
82,Cashbuild Serowe,,,,Serowe,Botswana,+267 463 2661,,,Boiteko Complex,P.O.Box 30232
83,Cashbuild Botswana,Main Rd,,,Mahalapye,Botswana,+267 471 1059,,,,
84,Cash Build,,,,Lobatse,Botswana,+267 530 0223,,"Plot 2134 Woodhall Shop Ctr, Woodhall Ind Sites",,P.O.Box 11098
85,Cashbuild Botswana,2289/90 Tshawane Rd Ind Sites Pd,,,Jwaneng,Botswana,+267 588 0850,,,,P.O.Box 432
86,Dulux Botswana (pty) Ltd,,,,Gaborone,Botswana,+267 395 1011,,Plot 1240 Haile Selassie Rd,,P.O.Box 459
87,Sefalana Selebi-phikwe,,,,Selibe Phikwe,Botswana,+267 261 0309,,,"Industrial, Selebi-Phikwe",P.O.Box 21
88,World Bazaar Wholesalers,,,,P.O.Box 11525,Botswana,+267 490 0500,,Plot 328 Palapye Industrial,,
89,Dinotlele Pty Ltd,,,,Gaborone,Botswana,26771276357,,Plot Z940 Tlokweng,,
90,Mega Brick,,Mogoditshane,,Gaborone,Botswana,+267 395 2524,,Plot 343,,
91,Quality Bricks,,Mogoditshane BLOCK 8,,Gaborone,Botswana,+267 311 2417,,PLOT 12008,,
92,Northern Building Supplies (pty) Ltd,"Main Rd Opp Ngami Toyota Mowana Rd, Industrial Sites",,,Maun,Botswana,+267 686 0221,,,,P.O.Box 300
93,Bertmattholdings Proprietary Limited,,,,Gaborone,Botswana,26773185155,,,,P.O. Box 30661
94,Botswana Building Society,,,,Gaborone,Botswana,+267 397 1396,,,BBS Hse Broadhurst Mall Kagiso Shopping Ctr,P.O.Box 40029
95,Expanded Polystryrene Panel Building (Pty) Ltd,,,,Gaborone,Botswana,26775102294,,,,P.O. Box 30661
96,Steel & Construction (pty) Ltd,,,,Gaborone,Botswana,+267 397 2978,,"Plot 73863, Maganfg Drive",Phakalane Industrial,
97,Takumi Pty Ltd,,,,Gaborone,Botswana,267 73 159 100,,"Plot 64, Unit 18",Gaborone International Commerce Park,
98,Thr Holdings (pty) Ltd,,,,Gaborone,Botswana,3914244,,,,P O BOX 503223 Rail Park
99,Be Bay Group,,,,GABORONE,Botswana,3117302,,PLOT 23488 PHASE 4,,
100,Panda,,,,Francistown,Botswana,+267 244 2106,,,FARM 26 NQ MONARCH,
101,Sharps Construction (pty) Ltd,,Gaborone,,P.O.Box 749 AAH,Botswana,+267 390 5663,,"Plot 120607, Block 3 Industrial",,
102,Deck Creations,,Pandamatenga,,Kasane,Botswana,73304650,,,Farm Q11,
103,Fair Price Hardware,Next Spar Hospital Road,,,Mochudi,Botswana,+267 571 0000,,,,P.O.Box 201997
104,Harvey Roofing Tiles,,,,Gaborone,Botswana,+267 390 8339,,Plot 44/1A Commerce Pk,,
105,Lumber City,,,,Gaborone,Botswana,+267 316 5772,,"Plot 20612, Western Bypass",,P.O.Box 202356
106,Maxisave,,,,Kanye,Botswana,+267 544 2142,,,near Masekuo Post Office,P.O.Box 1130
107,Maxi Save Hardware Corporation,Main Rd,,,Francistown,Botswana,+267 241 3016,,,Light Ind Area,
108,Mechanised Farming (pty) Ltd,,,,Gaborone,Botswana,+267 397 4336,,"Plot 10243, Legolo Rd, Broadhurst Ind Est",,P.O.Box 2276
109,Plascon Paints,,,,Francistown,Botswana,+267 241 2403,,"Plot 2417, Sam Nujoma Rd, Central Ind Area",,P.O.Box 137
110,Ross Breeders Botswana (pty) Ltd,along Towana Pride Rd (Notwane),,,Gaborone,Botswana,+267 316 1629,,,,
111,Starke Ayres (pty) Ltd,Bredell Rd,,,P.O.Box 49,Botswana,+267 964 1632,,,Kalkfontein,
112,Trident Holdings,,,,Gaborone,Botswana,+267 390 5038,,"Plot 50628 Block 3, Broadhurst",,P.O.Box 1016
113,Liquorama Bonnington,,,,Gaborone,Botswana,+267 391 3635,,,"Bonnington Ctr, Molepolole Hway",P.O.Box 2014
114,Mendel Welding & Engineering,,,,GABORONE,Botswana,+267 397 1880,,,,P.O. BOX 2359
115,Mochudi Hardware,,,,Mochudi,Botswana,+267 574 9853,,,Matamora Ward,P.O.Box 1636
116,STC Cleaning Chemicals,,,,Maun,Botswana,+267 686 3000,,Plot 581 Boseja,Industrial Sites,
117,Truss Africa,,,,Gaborone,Botswana,3112973,,"Unit 1 Plot 1231 Haile Sellassie Road, At Apple Centre",Gwest Industrial,
118,Hitecon Pty Ltd,,Block 3,,Gaborone,Botswana,+267 3916 326,,Plot 64272,,
119,Paper Club (pty) Ltd,,,,Gaborone,Botswana,+267 390 4337,,Plot 10213,,P.O.Box 502724
120,H & J General Wholesalers,,,,P.O.Box 132,Botswana,+267 297 6900,,,Along Letlhakane Serowe Road Industrial Site H & I Complex,
121,Alman Metals,,,,Mochudi,Botswana,+267 572 9112,,,,
122,BW Chemicals,,pakistan,,Lobatse,Botswana,924237915558,,,"6 km sheikhupura raod, jia musa, shahdara, lahore",
123,Fortma Investments (pty) Ltd,,,,Gaborone,Botswana,+267 390 8356,,Plot 156 Nshingo Court Unit 7 Commerce Park,,
124,Roadmarking And Services (pty) Ltd,,,,Gaborone,Botswana,+267 391 9473,,1 Mafulo Hse Nelson Mandela Plot 10213/3 Broadhurst Ind,,P.O.Box 2134
125,Antalis,10204 Mokolwane Road Broadhurst Industrial Estate,,,Gaborone,Botswana,+267 391 2139,,,,P.O.Box 1705
126,Babirwa Concrete Products (pty) Ltd,,Tlokweng,,Gaborone,Botswana,+267 393 0046,,Plot 593,,
127,B & G Hardware Mall,,,,Serowe,Botswana,+267-4631499,,,Main Mall,
128,Coldroom Products & Distributors,,,,Serowe,Botswana,+267 463 1684,,,,P.O.Box 3737
129,Murray & Roberts (botswana) Ltd,,,,Gaborone,Botswana,+267 395 1871,,,,P.O.Box 657
130,Tswana Pride (pty) Ltd,,,,P.O.Box 786,Botswana,+267 316 1624,,,Masedikwane Farm Off Lobatse Gaborone Rd,
131,Builders Merchants Botswana (pty) Ltd,,,,Gaborone,Botswana,+267 392 2811,,"Plot 14394 /5, New Lobatse Rd",,P.O.Box 249
132,Kalcon (pty) Ltd,,,,Gaborone,Botswana,+267 390 9202,,Plot 20714 Ext 34,Broadhurst Ind,
133,Builders Merchants Botswana,,,,P.O.Box 198,Botswana,+267 261 0740,,"Plot 2716, Sefalana Rd, Industrial Sites",Selebi-Phikwe,
134,Brickforce (botswana) (pty) Ltd,,,,P.O.Box 1029,Botswana,+267 392 2850,,"Plot 14405, Maakgadigau Rd",Gaborone West Ind,
135,Kwena Concrete Products,,,,P.O.Box 1029,Botswana,+267 392 2850,,Plot 14404 Maakgadigau Rd Gaborone West,,
136,Lobatse Clay Works (pty) Ltd,,,,Lobatse,Botswana,+267 533 2447,,,,
137,Pego Projects,,,,Gaborone West,Botswana,+267 319 1111,,,42307 Airport,
138,Sands Civil Services,,,,Gaborone,Botswana,+267 390 9864,,Plot 154 GICP,,
139,Stefanutti Stocks Botswana,,,,Gaborone,Botswana,+267 397 4773,,,,P.O.Box 402127
140,Tiki Architects,,,,Gaborone,Botswana,+267 317 0676,,Plot 6413 Tlhwane Rd Opp Motoglow,,P.O.Box 2679
141,Tuwana Construction Co (pty) Ltd,,,,Gaborone,Botswana,+267 316 2984,,,,P.O.Box 80516
142,Katz Holdings,,,,Gaborone,Botswana,+267 391 0172,,Plot 11617 Mogoditshane,,Ledumadumane P.O.Box 201130
143,Mido Construction,,,,Gaborone,Botswana,+267 318 0419,,Plot 42801,Phakalane,
144,Snotek Ventures (pty) Ltd,,,,Jwaneng,Botswana,+267 73842399,,,,P O Box 40685 Gaborone
145,Afitha (pty) Ltd,,,,Gaborone,Botswana,5729083,,,,P O BOX 2032 MOCHUDI
146,Apache Roof Tiles,,,,Gaborone,Botswana,+267 390 2306,,,,
147,Avo Enterprises,,,,Palapye,Botswana,+267 492 4545,,,Boikago Ward,P.O.Box 226
148,Bateman's Fine Wine & Liquor Store,,,,Maun,Botswana,+267 686 1721,,,Shop 7A Ngume Ctr New Mall,
149,Batsho Building Construction (pty) Ltd,,,,P.O.Box 211131,Botswana,+267 315 8283,,Plot 22115 Gaborone West Phase 4 Industrial,,
150,Brickbuild (pty) Ltd T/a Panda,,,,Francistown,Botswana,+267 244 2106,,,,
151,Catz Holdings (pty) Ltd,,,,Gaborone,Botswana,+267 391 0172,,Plot 11677 Ledumadumane,,P.O.Box 201130
152,C & H Builders (botswana) (pty) Ltd,Along Bulawayo Rd,,,Francistown,Botswana,+267 261 0491,,,,P.O.Box 61
153,Complant Botswana (pty) Ltd,,,,Gaborone,Botswana,+267 390 2918,,Plot 138,Molepolole Hway,
154,C S C & E C (pty) Ltd,,,,Gaborone,Botswana,+267 390 1427,,Plot 111 Millenium Office Pk,,
155,C U L Building & Transport,,,,P.O.Box 945,Botswana,+267 588 2293,,Plot 456 Kweneng Dve Jwaneng Ind Site,,
156,Dawson & Fraser (pty) Ltd,,,,P.O.Box 601352,Botswana,+267 392 4050,,Plot 28573,Gaborone West,
157,Designer Tiles & Pavers,,,,Mogoditshane,Botswana,+267 395 1571,,Plot 1097 Nkoya Phiri,,P.O.Box 1619
158,Dezzo Roofings,,,,Mochudi,Botswana,+267 572 9111,,,"Plots 17, 18, 19 Pilane Industrial",P.O.Box 1047
159,Direct Building & Civil Engineering Cons (pty) Ltd,,,,Orapa,Botswana,+267 297 0379,,,Industrial Sites,P.O.Box 772
160,Duraclean Chemicals,,,,Maun,Botswana,+267 686 3799,,,Behind Gabotshe Complex Sanyedi Ward,P.O.Box 22052
161,F C Z Timbers,,,,Gaborone,Botswana,+267 319 0994,,Plot 21345,Phakalane,
162,Fine Wines (pty) Ltd,,,,Gaborone,Botswana,+267 310 5304,,"Plot 20688, Broadhurst",,P.O.Box 402547
163,Form-scaff,,,,Francistown,Botswana,+267 241 6470,,,,P.O.Box 1470
164,General Construction,,,,Gaborone,Botswana,+267 390 3054,,"Plot 8772/3 Near Bontleng Primary School, Bontleng",,P.O.Box 203226
165,Ghanzi Brick Fields,,,,Ghanzi,Botswana,+267 659 7525,,Plot 425,,P.O.Box 35
166,Glass Craft Botswana (pty) Ltd,Pelegano St Pelegano Village Ind,,,Gabane,Botswana,+267 393 1543,,,,P.O.Box 1077
167,Grunwald Construction (pty) Ltd,,,,Francistown,Botswana,+267 241 6377,,Plot 21 Ntshe Plot Light Ind,,
168,Hytess Group Of Companies (pty) Ltd,,,,Gaborone,Botswana,+267 393 8892,,"Plot 332 Mogoditshane Industrial, Mogoditshane Ind",,P.O.Box 201138
169,Infineon Pty Ltd,,,,Gaborone,Botswana,+267 390 7922,,Plot 1873/4 Suite F1 Pop-Inn Mall,,
170,Jaycee Eng. Services (pty) Ltd,,,,Orapa,Botswana,+267 297 0477,,,Industrial Sites,P.O.Box 70
171,Josa Enterprises (pty) Ltd,,,,P.O.Box 601243,Botswana,+267 391 6571,,Plot 22039/2 Takatokwane Rd Gaborone West Industrial,Gaborone West,
172,Just Bricks,,,,P.O.Box 46526,Botswana,+267 393 4555,,Plot 51558,Gaborone West Ind,
173,Lester Construction,,,,P.O.Box 381,Botswana,+267 262 2616,,"P & L Building Plot 4258 Industrial Sites, Industrial Sites",Selebi-Phikwe,
174,L M Super Builders Co (pty) Ltd,,,,Francistown,Botswana,+267 241 4450,,Plot 5418 Gwetla Circle Somerset Ext,,P.O.Box 20015
175,Manate,,,,P.O.Box 20193,Botswana,+267 390 2451,,,Gaborone West Ind,
176,Mapako (pty) Ltd,,,,Francistown,Botswana,+267 241 7655,,Plot 1076 Maikaelelo Close Dumela Industrial,,P.O.Box 1431
177,Marble Holdings (pty) Ltd T/a Mica Home Centre,,,,P.O.Box 201003,Botswana,+267 390 0580,,"Plot 22038, Takatokwane Way",Gaborone West I/Est,
178,Med Projects (pty) Ltd,,,,P.O.Box 70981,Botswana,+267 390 7747,,Plot 22017 Kqomokasitwa Rd Gaborone West,,
179,Nonofile Construction,,,,Gaborone West,Botswana,+267 350 0822,,Plot 22081,,
180,Okavango Wineries,,,,Palapye,Botswana,+267 492 3951,,,Lotsane R.A. Bailey Complex Shop 2,P.O.Box 11167
181,Pabala (pty) Ltd,,,,Gaborone,Botswana,+267 391 6560,,Plot 7700,,P.O.Box 2601
182,Pan African Trading And Cement Products,,,,Gaborone,Botswana,+267 391 2611,,"Plot 944, Molepolole Hway",,P.O.Box 1250
183,Pan African T/a Cement Product,,,,Gaborone,Botswana,+267 391 3493,,"Plot 32176, Molepolole Hway, Mogoditshane",,P.O.Box 1250
184,P I Building Construction (pty) Ltd,,,,Francistown,Botswana,+267 241 3928,,Plot 20549 Dumela Rd,,P.O.Box 10379
185,Plermah Enterprises (pty) Ltd,,,,Francistown,Botswana,+267 240 3241,,,Somerset East Industrial,P.O.Box 20556
186,Powacom Engineering,,,,Gaborone West I/Est,Botswana,+267 393 4148,,Plot 22125,,
187,Prominent Paints Botswana,,,,Gaborone,Botswana,+267 395 3327,,"Plot 20733 Block3, Pharathe Cres, Broadhurst Ind Est",,P.O.Box 292
188,Relihold (pty) Ltd T/a Hardware House,,,,Gaborone,Botswana,+267 391 4044,,"Plot 5665, Kubu Rd",,P.O.Box 4774
189,Steel & Timber Merchants (pty) Ltd,,,,Francistown,Botswana,+267 241 4571,,Plot 6173 Sam Nujoma Dve,Light Ind Sites,
190,Success Brings Success,,,,Gaborone,Botswana,+267 397 2951,,Plot 97/103 Mogoditshane Industrial,,P.O.Box 47527
191,Sunrise Building Construction (pty) Ltd,,,,Gaborone,Botswana,+267 397 1113,,Plot 5340 Extension 11 Nyerere Dve,,P.O.Box 401902
192,Zongwe Builders,,,,Gaborone,Botswana,+267 391 6603,,"Plot 1277A, Mogoditshane",,P.O.Box 484
193,A A Machado & Sons Building Contractors,,,,Gaborone,Botswana,+267 316 2763,,"Plot 6736, Mogoditshane",,P.O.Box 40763
