id,business_name,address,street,place,area,postal_address,city,country,call,category
1,Truefurn Technologies,,,7 Rowland Square,Milton Park,,Harare,Zimbabwe,8644143126,
2,Sams Construction,,,76b Greengrove Dr Greendale,,,Harare,Zimbabwe,263242496938,
3,Jupiter Auto Engineering,,1 Simon Mazorodze Rd,,,,Harare,Zimbabwe,+263 77 610 908,
25,Caroline Garments P/L t/a Caroline Safety,,26 Bon Accord Rd,Westondale,,,Bulawayo,Zimbabwe,+263 29 2277645,
26,Pest Portal Zimbabwe (Pvt) Ltd,,,3D Building Strathaven Building,,,Avondale Harare,Zimbabwe,772593344,
27,Busy Bee Transcribing,,13 Ascot Road,Avondale West,,,Harare,Zimbabwe,0242-308969,
28,Athol Evans Hospita Home,,,,,P O Box Cr 70 Cranb Cranborne,Harare,Zimbabwe,570 887,
29,Kayaz Furniture,,"10242, 27th Road, High Glen Industrial Area",High Glen.,,,Harare,Zimbabwe,263719658283,
31,MEGA MARKET,,,Target Area,,,Mutare,Zimbabwe,263-20-61517,
32,DOMAIN ALLUMINIUM,,,,,,36 HARARE STREET,Zimbabwe,0773 319 261,
33,Pishon Consulting (Pvt) Ltd,,3 Kingston Close,,Highlands,,Harare,Zimbabwe,773261528,
34,Data Analytics Training and Advisory Services,,57 Jason Moyo Avenue,6th Floor Batanai Gardens,,,Harare,Zimbabwe,779397464,
35,Deposit Protection Corporation,,29 Rayl Road,,Borrowdale,,Harare,Zimbabwe,+263 4 250900/1,
36,Eaztrade Barter Exchange Zimbabwe,,Cnr 1st St /Kwamwe Krumah Ave,"Shop 15A, Chiyedza Hse",,,Harare,Zimbabwe,718924393,
37,Halsted Brothers,,,(Pvt) Ltd Douglas/Lytton Rds Workington,,,Harare,Zimbabwe,+263 242 447777,
38,OTrack Zimbabwe,,"2 Partmar House, Pennywise, Seikik Road",,Eastlea,,Harare,Zimbabwe,+263 8644 282459,
39,Light Eco Property Development Pty Ltd,,,21504 PO Luveve,,,Bulawayo,Zimbabwe,+263 77 970 5782,
40,Hammer and Tongues (Pvt) Ltd,,Dhlela Way Graniteside,,,P.O.Box 504,Harare,Zimbabwe,+263 4 748647,
41,Jupiter Auto Engineering,,1 Simon Mazorodze Rd,,,,Harare,Zimbabwe,+263 77 610 908,
42,Sams Construction,,,76b Greengrove Dr Greendale,,,Harare,Zimbabwe,263242496938,
43,Truefurn Technologies,,,7 Rowland Square,Milton Park,,Harare,Zimbabwe,8644143126,
44,CE Marking Certification on construction products,"Plot no. 362, Industrial Area, Phase 2",,Panchkula,,,Haryana - 134113,Zimbabwe,911203838500,
45,CLEO BOILER CENTRE,,35 Shepperton Road,,Graniteside,,Harare,Zimbabwe,0242 772615,
46,Jedforest Enterprises,,6 Tom Moodie Road,,,,Kwekwe,Zimbabwe,552521024,
47,Multicore Electrical,,,,,,41B 3rd Street Gweru,Zimbabwe,542220603,
48,3rd Eye Security Solutions,,,2536 Silverbow,Rusape,,Mutare,Zimbabwe,263713179895,
